UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C15BASIC,C15IPUG,C15IPGRD,C15UGPRF,C15ENPRF,C15SZSET,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,distance (in miles)
223524,Brookhaven College, ,3939 Valley View Ln,Farmers Branch,TX,75244-4997,48,6,Dr. Thom Chesney,President,9728604700,751213149,108848925,2100200,1,www.brookhavencollege.edu/,www.brookhavencollege.edu/apply-reg/pages/default.aspx,www.brookhavencollege.edu/pc/fa/pages/default.aspx,www1.dcccd.edu/stuapp/,www.collegeforalltexans.com/apps/CollegeMoney/,www.brookhavencollege.edu/bhcservices/veterans/pages/default.aspx, ,www.brookhavencollege.edu/bhcservices/disability/pages/default.aspx,4,2,1,3,1,2,40,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,1,1,4,7,40,2,4,2,-2,-2,19100,1,206,-2,48113,Dallas County,4824,-96.85016,32.928237,80,2,7.096908762816128
224615,El Centro College, ,801 Main Street,Dallas,TX,75202-3604,48,6,Dr. Jose Adames,President,2148602037,751213149,102583481,445300,1,www.elcentrocollege.edu,www.elcentrocollege.edu/apply-reg/pages/admregoff.aspx,www.elcentrocollege.edu/pc/fa/pages/fa-offices.aspx,www1.dcccd.edu/stuapp/,www.elcentrocollege.edu/pc/cost/tuition/pages/tuitioncalc.aspx,www.elcentrocollege.edu/services/veterans/Pages/out-of-state-waiver.aspx,www.elcentrocollege.edu/au/fastfacts/legal/documents/RightToKnow.pdf,www.elcentrocollege.edu/services/disability/pages/default.aspx,4,2,1,3,1,2,40,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,3,7,40,2,4,2,-2,-2,19100,1,206,-2,48113,Dallas County,4830,-96.805361,32.779817,88,2,5.160991757604338
226930,Mountain View College, ,4849 West Illinois Ave.,Dallas,TX,75211-6599,48,6,Dr. Robert Garza,President,2148608680,751213149,58982620,850300,1,www.dcccd.edu,https://www.mountainviewcollege.edu/apply-reg/pages/admregoff.aspx,https://www.mountainviewcollege.edu/pc/fa/understand/pages/default.aspx,https://www.mountainviewcollege.edu/apply-reg/apply/pages/default.aspx,www.dcccd.edu/pc/cost/pages/coa.aspx,https://www.mountainviewcollege.edu/services/veterans/pages/default.aspx,https://www.mountainviewcollege.edu/au/fastfacts/legal/documents/righttoknow.pdf,https://www.mountainviewcollege.edu/services/disability/pages/default.aspx,4,2,1,3,1,2,40,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,1,1,3,7,40,2,4,2,-2,-2,19100,1,206,-2,48113,Dallas County,4833,-96.903798,32.726572999999995,80,2,7.1850798476105195
228769,The University of Texas at Arlington,UT Arlington,701 S. Nedderman Dr.,Arlington,TX,76013,48,6,Dr. Vistasp M. Karbhari,President,8172722011,756000121,64234610,365600,1,WWW.UTA.EDU,www.uta.edu/uta/admissions,www.uta.edu/fao,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.ncaa.org/about/resources/research/graduation-rates,www.uta.edu/disability/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,15,5,4,15,16,15,2,5,1,The University of Texas System,148060,19100,1,206,-2,48439,Tarrant County,4806,-97.11296,32.729718,107,1,15.447304719051946
434052,ITT Technical Institute-Richardson, ,2101 Waterview Pky,Richardson,TX,75080,48,6, , , ,-1, ,732943,5, , , , , , , , ,3,1,3,5,1,2,30,1,2,-2,-2,2,12,1,D ,-2,2017,9/3/2016,3,1,3,9,-2,-2,23,5,0,6,2,6,10,-3,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4832,-96.757217,32.979759,-2,-2,12.508862477901895
437732,Dallas Nursing Institute, ,12170 N. Abrams Road Suite 200,Dallas,TX,75243,48,6,Charlita Shelton,Executive Director,4699418300,752060087,79162674,3416500,1,www.dni.edu,www.dni.edu/admissions/,www.dni.edu/financial-aid/,https://apply.dni.edu,www.dni.edu/NetPriceCalculator/npcalc.htm, , ,catalog.dni.edu/content.php?catoid=60&navoid=3342#accommodations-for-students-with-disabilities,2,1,2,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,3,10,4,0,3,1,1,-3,-3,2,1,2,-2,-2,19100,1,206,-2,48113,Dallas County,4832,-96.73487800000001,32.9138,177,2,10.029216725102874
442222,Argosy University-Dallas, ,"5001 Lyndon B. Johnson Freeway, Heritage Square, Suite 230",Farmers Branch,TX,75244,48,6,"Brian McAulay, PhD",Campus President,2148909900,822237265,131610466,2179919,1,www.argosy.edu/dallas/,www.argosy.edu/admissions,www.argosy.edu/admissions/scholarships-financial-aid/Default.aspx,apply.argosy.edu/Account/Address,tcc.noellevitz.com/edmc/Argosy University Net Price Calculator,www.argosy.edu/admissions/military-faqs, ,content.argosy.edu/assets/pdf/AU/Sci/disability-services/disability-services-argosy.pdf,3,1,3,9,1,1,12,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,26,16,13,5,5,6,26,-3,2,1,1,Education Management Corporation,301790,19100,1,206,-2,48113,Dallas County,4824,-96.82329399999999,32.928188,175,1,7.551632191656559
460181,Concorde Career College-Dallas, ,12606 Greenville Ave Ste 130,Dallas,TX,75243,48,6,Erin Henry,Campus President,4692213400,431440321,193571114,887101,1,www.concorde.edu,www.concorde.edu/,www.concorde.edu/,www.concorde.edu/,enroll.myconcorde.edu/Npc,www.concorde.edu/, ,www.concorde.edu/,6,2,3,3,1,2,40,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,4,10,4,0,4,1,2,-3,-3,2,1,1,Concorde Career Colleges Inc.,301180,19100,1,206,-2,48113,Dallas County,4832,-96.741711,32.91856,198,2,9.918550534866743
475750,Carrington College-Mesquite,Carrington College-Mesquite,3733 W. Emporium Circle,Mesquite,TX,75150-6509,48,6,Leigh Christopherson,Regional Director of Operations,9726822800,820381820, ,2218002,1,www.carrington.edu, ,carrington.edu/financial-aid/, ,carrington.edu/financial-aid/net-price-calculator/,carrington.edu/financial-aid/military-benefits/, ,carrington.edu/student-disability-accommodation/,6,2,3,3,1,2,40,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,2,4,-2,-2,-2,-2,-2,-2,-3,-3,2,1,1,Adtalem Global Education,300012,19100,1,206,-2,48113,Dallas County,4805,-96.625985,32.815899,246,1,14.41141702645013
477039,West Coast University-Dallas, ,8435 North Stemmons Freeway,Dallas,TX,75247-3900,48,6,Jeb Egbert,"Co-President, Academic and Chief Learning Officer",2144534533,954647739,119070352,3698304,1,westcoastuniversity.edu/,westcoastuniversity.edu/admissions.html,westcoastuniversity.edu/admissions/financial-aid.html,westcoastuniversity.edu/contactus/application.html,westcoastuniversity.studentaidcalculator.com/survey.aspx, ,westcoastuniversity.edu/general/disclosures.html,westcoastuniversity.edu/student-affairs/student-services/students-disabilities.html,3,1,3,8,1,1,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,26,18,0,11,2,6,-3,-3,2,1,1,West Coast University Inc.,304950,19100,1,206,-2,48113,Dallas County,4833,-96.873805,32.827459999999995,175,2,0.0
